exp_id,model_name,timestamp,training_time_seconds,f1_score_weighted,accuracy,f1_score_yes,f1_score_no,learning_rate,batch_size,num_epochs,warmup_ratio,weight_decay,gradient_accumulation_steps
exp001,roberta-base,2025-12-05 12:58:51,203.11,0.7406577583422216,0.7420289855072464,0.6920415224913494,0.7780548628428927,1e-05,16,10,0.0,0.0,1
exp002,roberta-base,2025-12-05 13:01:59,187.85,0.7578519383671096,0.7594202898550725,0.710801393728223,0.794044665012407,1e-05,16,10,0.0,0.0,2
exp003,roberta-base,2025-12-05 13:05:15,196.31,0.7442571231391107,0.744927536231884,0.7006802721088435,0.7777777777777778,1e-05,16,10,0.0,0.01,1
exp004,roberta-base,2025-12-05 13:08:19,183.08,0.7412217241419266,0.7420289855072464,0.6962457337883959,0.7758186397984886,1e-05,16,10,0.0,0.01,2
exp005,roberta-base,2025-12-05 13:11:29,190.4,0.7431040762939171,0.744927536231884,0.6923076923076923,0.7821782178217822,1e-05,16,10,0.0,0.1,1
exp006,roberta-base,2025-12-05 13:14:37,188.29,0.7586674506042685,0.7594202898550725,0.7167235494880546,0.7909319899244333,1e-05,16,10,0.0,0.1,2
exp007,roberta-base,2025-12-05 13:17:56,198.74,0.7513686398307692,0.7536231884057971,0.6996466431095406,0.7911547911547911,1e-05,16,10,0.1,0.0,1
exp008,roberta-base,2025-12-05 13:21:09,192.56,0.7378935532233882,0.7391304347826086,0.6896551724137931,0.775,1e-05,16,10,0.1,0.0,2
exp009,roberta-base,2025-12-05 13:24:28,199.9,0.7697973360565789,0.7710144927536232,0.726643598615917,0.8029925187032418,1e-05,16,10,0.1,0.01,1
exp010,roberta-base,2025-12-05 13:27:40,191.25,0.7293064575378383,0.7304347826086957,0.6804123711340206,0.7669172932330827,1e-05,16,10,0.1,0.01,2
exp011,roberta-base,2025-12-05 13:30:53,193.13,0.7451579746588347,0.7478260869565218,0.6903914590747331,0.7872860635696821,1e-05,16,10,0.1,0.1,1
exp012,roberta-base,2025-12-05 13:33:56,182.94,0.7661531407334563,0.7681159420289855,0.7183098591549296,0.8029556650246306,1e-05,16,10,0.1,0.1,2
exp013,roberta-base,2025-12-05 13:38:45,289.01,0.765830476501424,0.7681159420289855,0.7163120567375887,0.803921568627451,1e-05,16,15,0.0,0.0,1
exp014,roberta-base,2025-12-05 13:43:27,281.74,0.766745980243709,0.7681159420289855,0.7222222222222222,0.8009950248756219,1e-05,16,15,0.0,0.0,2
exp015,roberta-base,2025-12-05 13:48:16,289.31,0.7461821522643197,0.7478260869565218,0.6968641114982579,0.7841191066997518,1e-05,16,15,0.0,0.01,1
exp016,roberta-base,2025-12-05 13:52:53,276.91,0.7636868314185046,0.7652173913043478,0.7177700348432056,0.7990074441687345,1e-05,16,15,0.0,0.01,2
exp017,roberta-base,2025-12-05 13:57:44,291.47,0.7716847145888883,0.7739130434782608,0.723404255319149,0.8088235294117647,1e-05,16,15,0.0,0.1,1
exp018,roberta-base,2025-12-05 14:02:24,280.04,0.7482677622390308,0.7507246376811594,0.6950354609929078,0.7892156862745098,1e-05,16,15,0.0,0.1,2
exp019,roberta-base,2025-12-05 14:07:16,291.98,0.7492519287619871,0.7507246376811594,0.7013888888888888,0.7860696517412935,1e-05,16,15,0.1,0.0,1
exp020,roberta-base,2025-12-05 14:11:55,278.98,0.7517021216487272,0.7536231884057971,0.7017543859649122,0.7901234567901234,1e-05,16,15,0.1,0.0,2
exp021,roberta-base,2025-12-05 14:16:47,291.83,0.7568748493871641,0.7594202898550725,0.7046263345195729,0.7970660146699267,1e-05,16,15,0.1,0.01,1
exp022,roberta-base,2025-12-05 14:21:26,278.98,0.7553673163418292,0.7565217391304347,0.7103448275862069,0.79,1e-05,16,15,0.1,0.01,2
exp023,roberta-base,2025-12-05 14:26:18,292.01,0.7550832792558944,0.7565217391304347,0.7083333333333334,0.7910447761194029,1e-05,16,15,0.1,0.1,1
exp024,roberta-base,2025-12-05 14:30:57,278.7,0.7550832792558944,0.7565217391304347,0.7083333333333334,0.7910447761194029,1e-05,16,15,0.1,0.1,2
exp025,roberta-base,2025-12-05 14:34:17,200.01,0.7627332867513289,0.7652173913043478,0.7117437722419929,0.8019559902200489,1e-05,32,10,0.0,0.0,1
exp026,roberta-base,2025-12-05 14:37:33,195.89,0.7565217391304347,0.7565217391304347,0.72,0.7846153846153846,1e-05,32,10,0.0,0.0,2
exp027,roberta-base,2025-12-05 14:40:53,199.91,0.7523135894279647,0.7536231884057971,0.7058823529411765,0.7880299251870324,1e-05,32,10,0.0,0.01,1
exp028,roberta-base,2025-12-05 14:44:08,195.71,0.7825231590382264,0.782608695652174,0.7491638795986622,0.8081841432225064,1e-05,32,10,0.0,0.01,2
exp029,roberta-base,2025-12-05 14:47:28,199.71,0.767016491754123,0.7681159420289855,0.7241379310344828,0.8,1e-05,32,10,0.0,0.1,1
exp030,roberta-base,2025-12-05 14:50:43,195.47,0.7702979349124967,0.7710144927536232,0.7303754266211604,0.801007556675063,1e-05,32,10,0.0,0.1,2
exp031,roberta-base,2025-12-05 14:54:02,198.92,0.7558817993600601,0.7565217391304347,0.7142857142857143,0.7878787878787878,1e-05,32,10,0.1,0.0,1
exp032,roberta-base,2025-12-05 14:57:16,193.55,0.7492519287619871,0.7507246376811594,0.7013888888888888,0.7860696517412935,1e-05,32,10,0.1,0.0,2
exp033,roberta-base,2025-12-05 15:00:34,197.75,0.7589041351454717,0.7594202898550725,0.7186440677966102,0.789873417721519,1e-05,32,10,0.1,0.01,1
exp034,roberta-base,2025-12-05 15:03:47,193.16,0.7591234839824286,0.7594202898550725,0.7205387205387206,0.7888040712468194,1e-05,32,10,0.1,0.01,2
exp035,roberta-base,2025-12-05 15:07:04,197.47,0.7467705570515262,0.7478260869565218,0.7010309278350515,0.7819548872180451,1e-05,32,10,0.1,0.1,1
exp036,roberta-base,2025-12-05 15:10:18,193.45,0.7492519287619871,0.7507246376811594,0.7013888888888888,0.7860696517412935,1e-05,32,10,0.1,0.1,2
exp037,roberta-base,2025-12-05 15:15:08,290.09,0.7730881926008842,0.7739130434782608,0.7328767123287672,0.8040201005025126,1e-05,32,15,0.0,0.0,1
exp038,roberta-base,2025-12-05 15:19:52,283.94,0.7593256293356371,0.7594202898550725,0.7224080267558528,0.7877237851662404,1e-05,32,15,0.0,0.0,2
exp039,roberta-base,2025-12-05 15:24:42,290.04,0.7677262342899067,0.7681159420289855,0.7297297297297297,0.7969543147208121,1e-05,32,15,0.0,0.01,1
exp040,roberta-base,2025-12-05 15:29:26,283.77,0.7475149771864009,0.7478260869565218,0.7070707070707071,0.7786259541984732,1e-05,32,15,0.0,0.01,2
exp041,roberta-base,2025-12-05 15:34:16,290.23,0.7550832792558944,0.7565217391304347,0.7083333333333334,0.7910447761194029,1e-05,32,15,0.0,0.1,1
exp042,roberta-base,2025-12-05 15:39:00,284.05,0.7417107237883872,0.7420289855072464,0.7003367003367004,0.7735368956743003,1e-05,32,15,0.0,0.1,2
exp043,roberta-base,2025-12-05 15:43:50,289.97,0.7606197074556955,0.7623188405797101,0.7132867132867133,0.7970297029702971,1e-05,32,15,0.1,0.0,1
exp044,roberta-base,2025-12-05 15:48:34,283.67,0.7707319907784561,0.7710144927536232,0.734006734006734,0.7989821882951654,1e-05,32,15,0.1,0.0,2
exp045,roberta-base,2025-12-05 15:53:23,289.94,0.735127824042401,0.736231884057971,0.6872852233676976,0.7719298245614035,1e-05,32,15,0.1,0.01,1
exp046,roberta-base,2025-12-05 15:58:07,283.85,0.7328851694333928,0.7333333333333333,0.6891891891891891,0.766497461928934,1e-05,32,15,0.1,0.01,2
exp047,roberta-base,2025-12-05 16:02:57,289.96,0.7695217244698995,0.7710144927536232,0.7247386759581882,0.8039702233250621,1e-05,32,15,0.1,0.1,1
exp048,roberta-base,2025-12-05 16:07:42,284.71,0.7489426200145098,0.7507246376811594,0.6993006993006993,0.7871287128712872,1e-05,32,15,0.1,0.1,2
exp049,roberta-base,2025-12-05 16:10:58,196.11,0.7553673163418292,0.7565217391304347,0.7103448275862069,0.79,2e-05,16,10,0.0,0.0,1
exp050,roberta-base,2025-12-05 16:14:06,187.86,0.7461821522643197,0.7478260869565218,0.6968641114982579,0.7841191066997518,2e-05,16,10,0.0,0.0,2
exp051,roberta-base,2025-12-05 16:17:22,196.02,0.7781353386174737,0.7797101449275362,0.7342657342657343,0.8118811881188119,2e-05,16,10,0.0,0.01,1
exp052,roberta-base,2025-12-05 16:20:30,187.75,0.7455184901797286,0.7478260869565218,0.6925795053003534,0.7862407862407862,2e-05,16,10,0.0,0.01,2
exp053,roberta-base,2025-12-05 16:23:46,196.04,0.7584132900606514,0.7594202898550725,0.7147766323024055,0.7919799498746867,2e-05,16,10,0.0,0.1,1
exp054,roberta-base,2025-12-05 16:26:54,188.1,0.7599762384139596,0.7623188405797101,0.7092198581560284,0.7990196078431373,2e-05,16,10,0.0,0.1,2
exp055,roberta-base,2025-12-05 16:30:13,198.78,0.7479018330555975,0.7507246376811594,0.6928571428571428,0.7902439024390244,2e-05,16,10,0.1,0.0,1
exp056,roberta-base,2025-12-05 16:33:23,190.59,0.7654900772610211,0.7681159420289855,0.7142857142857143,0.8048780487804879,2e-05,16,10,0.1,0.0,2
exp057,roberta-base,2025-12-05 16:36:42,198.94,0.758141504970836,0.7594202898550725,0.71280276816609,0.7930174563591023,2e-05,16,10,0.1,0.01,1
exp058,roberta-base,2025-12-05 16:39:53,190.38,0.7568748493871641,0.7594202898550725,0.7046263345195729,0.7970660146699267,2e-05,16,10,0.1,0.01,2
exp059,roberta-base,2025-12-05 16:43:12,199.05,0.7603069692517926,0.7623188405797101,0.7112676056338029,0.7980295566502463,2e-05,16,10,0.1,0.1,1
exp060,roberta-base,2025-12-05 16:46:30,198.81,0.7537645811240722,0.7565217391304347,0.7,0.7951219512195122,2e-05,16,10,0.1,0.1,2
exp061,roberta-base,2025-12-05 16:51:23,292.3,0.7544607977701291,0.7565217391304347,0.704225352112676,0.7931034482758621,2e-05,16,15,0.0,0.0,1
exp062,roberta-base,2025-12-05 16:56:02,279.24,0.7685917241154937,0.7710144927536232,0.7188612099644128,0.8068459657701712,2e-05,16,15,0.0,0.0,2
exp063,roberta-base,2025-12-05 17:00:54,291.92,0.7510164120229995,0.7536231884057971,0.697508896797153,0.7921760391198044,2e-05,16,15,0.0,0.01,1
exp064,roberta-base,2025-12-05 17:05:34,280.4,0.7695217244698995,0.7710144927536232,0.7247386759581882,0.8039702233250621,2e-05,16,15,0.0,0.01,2
exp065,roberta-base,2025-12-05 17:10:26,291.48,0.7572187894818099,0.7594202898550725,0.7067137809187279,0.7960687960687961,2e-05,16,15,0.0,0.1,1
exp066,roberta-base,2025-12-05 17:15:05,278.99,0.7486146262884654,0.7507246376811594,0.6971830985915493,0.7881773399014779,2e-05,16,15,0.0,0.1,2
exp067,roberta-base,2025-12-05 17:19:57,292.14,0.7689190887838914,0.7710144927536232,0.7208480565371025,0.8058968058968059,2e-05,16,15,0.1,0.0,1
exp068,roberta-base,2025-12-05 17:24:36,278.79,0.7685917241154937,0.7710144927536232,0.7188612099644128,0.8068459657701712,2e-05,16,15,0.1,0.0,2
exp069,roberta-base,2025-12-05 17:29:26,289.87,0.7575444246687572,0.7594202898550725,0.7087719298245614,0.7950617283950617,2e-05,16,15,0.1,0.01,1
exp070,roberta-base,2025-12-05 17:34:01,275.88,0.7533883404040802,0.7565217391304347,0.697841726618705,0.7961165048543689,2e-05,16,15,0.1,0.01,2
exp071,roberta-base,2025-12-05 17:38:50,288.7,0.7486146262884654,0.7507246376811594,0.6971830985915493,0.7881773399014779,2e-05,16,15,0.1,0.1,1
exp072,roberta-base,2025-12-05 17:43:26,275.94,0.7675032144387829,0.7710144927536232,0.7127272727272728,0.8096385542168675,2e-05,16,15,0.1,0.1,2
exp073,roberta-base,2025-12-05 17:46:44,197.81,0.7550832792558944,0.7565217391304347,0.7083333333333334,0.7910447761194029,2e-05,32,10,0.0,0.0,1
exp074,roberta-base,2025-12-05 17:49:58,193.7,0.761191904047976,0.7623188405797101,0.7172413793103448,0.795,2e-05,32,10,0.0,0.0,2
exp075,roberta-base,2025-12-05 17:53:17,199.63,0.7644826927583825,0.7652173913043478,0.7235494880546075,0.7959697732997482,2e-05,32,10,0.0,0.01,1
exp076,roberta-base,2025-12-05 17:56:39,202.15,0.7758773895743392,0.7768115942028986,0.7353951890034365,0.8070175438596491,2e-05,32,10,0.0,0.01,2
exp077,roberta-base,2025-12-05 17:59:58,198.65,0.7661531407334563,0.7681159420289855,0.7183098591549296,0.8029556650246306,2e-05,32,10,0.0,0.1,1
exp078,roberta-base,2025-12-05 18:03:13,194.81,0.7636868314185046,0.7652173913043478,0.7177700348432056,0.7990074441687345,2e-05,32,10,0.0,0.1,2
exp079,roberta-base,2025-12-05 18:06:30,197.32,0.7492519287619871,0.7507246376811594,0.7013888888888888,0.7860696517412935,2e-05,32,10,0.1,0.0,1
exp080,roberta-base,2025-12-05 18:09:44,193.46,0.7661531407334563,0.7681159420289855,0.7183098591549296,0.8029556650246306,2e-05,32,10,0.1,0.0,2
exp081,roberta-base,2025-12-05 18:13:03,199.43,0.7486146262884654,0.7507246376811594,0.6971830985915493,0.7881773399014779,2e-05,32,10,0.1,0.01,1
exp082,roberta-base,2025-12-05 18:16:18,195.06,0.7556334381855675,0.7565217391304347,0.7123287671232876,0.7889447236180904,2e-05,32,10,0.1,0.01,2
exp083,roberta-base,2025-12-05 18:19:38,199.48,0.7679293485704758,0.7681159420289855,0.7315436241610739,0.7959183673469388,2e-05,32,10,0.1,0.1,1
exp084,roberta-base,2025-12-05 18:22:53,195.06,0.7533192305844147,0.7536231884057971,0.7138047138047138,0.7837150127226463,2e-05,32,10,0.1,0.1,2
exp085,roberta-base,2025-12-05 18:27:46,293.19,0.7603069692517926,0.7623188405797101,0.7112676056338029,0.7980295566502463,2e-05,32,15,0.0,0.0,1
exp086,roberta-base,2025-12-05 18:32:33,286.62,0.7711005415055884,0.7710144927536232,0.7375415282392026,0.7969151670951157,2e-05,32,15,0.0,0.0,2
exp087,roberta-base,2025-12-05 18:37:25,292.73,0.7702979349124967,0.7710144927536232,0.7303754266211604,0.801007556675063,2e-05,32,15,0.0,0.01,1
exp088,roberta-base,2025-12-05 18:42:12,286.73,0.7556334381855675,0.7565217391304347,0.7123287671232876,0.7889447236180904,2e-05,32,15,0.0,0.01,2
exp089,roberta-base,2025-12-05 18:47:05,293.04,0.7547811637351025,0.7565217391304347,0.7062937062937062,0.7920792079207921,2e-05,32,15,0.0,0.1,1
exp090,roberta-base,2025-12-05 18:51:52,286.58,0.7575444246687572,0.7594202898550725,0.7087719298245614,0.7950617283950617,2e-05,32,15,0.0,0.1,2
exp091,roberta-base,2025-12-05 18:56:44,292.84,0.7529930686830498,0.7565217391304347,0.6956521739130435,0.7971014492753623,2e-05,32,15,0.1,0.0,1
exp092,roberta-base,2025-12-05 19:01:32,287.17,0.7719993122151199,0.7739130434782608,0.7253521126760564,0.8078817733990148,2e-05,32,15,0.1,0.0,2
exp093,roberta-base,2025-12-05 19:06:25,293.2,0.7772155733979699,0.7797101449275362,0.7285714285714285,0.8146341463414634,2e-05,32,15,0.1,0.01,1
exp094,roberta-base,2025-12-05 19:11:12,286.82,0.7409491905469635,0.7420289855072464,0.6941580756013745,0.7769423558897243,2e-05,32,15,0.1,0.01,2
exp095,roberta-base,2025-12-05 19:16:04,292.84,0.7547811637351025,0.7565217391304347,0.7062937062937062,0.7920792079207921,2e-05,32,15,0.1,0.1,1
